,ID,img_link,Name,price,region,description,use,gearbox,mileage,town,Region,Year_of_manufacture,CC
54,54,https://pictures-kenya.jijistatic.com/21435907_MzAwLTIyNS1kMTZmOGJmNjFj.webp,Mazda Axela 2014 Silver,1400000," Mombasa, Ganjoni",Cash 1.42015fully loaded we accept cash and hire purchase  call ,Foreign Used,Automatic,60000, Ganjoni, Mombasa,2014,Not specified
55,55,https://pictures-kenya.jijistatic.com/27374843_MzAwLTQwMC00YWE1NmZlMTg1.webp,Mazda Axela 2015 Green,1330000," Mombasa, Mombasa CBD",Toyota alexanew shapefogs alloyscash 1350000,Foreign Used,Automatic,88000, Mombasa CBD, Mombasa,2015,Not specified
56,56,https://pictures-kenya.jijistatic.com/26410147_MzAwLTQwMC1mNzRmNTRiNWY5.webp,Mazda Axela 2014 Black,1340000," Mombasa, Mombasa CBD",2015new shape Bluetooth dvdwififogs alloyscall me,Foreign Used,Automatic,70665, Mombasa CBD, Mombasa,2014,Not specified
57,57,https://pictures-kenya.jijistatic.com/21435776_MzAwLTIyNC1mYmYwZDRmMGUx.webp,Mazda Axela 2014 Other,1380000," Mombasa, Ganjoni",Cash 2015call072*********,Foreign Used,Automatic,70000, Ganjoni, Mombasa,2014,Not specified
58,58,https://pictures-kenya.jijistatic.com/34771883_MzAwLTIyNS1lNWJmMjIwZjEw.webp,Mazda Axela 2015 Blue,1595000," Nairobi, Nairobi Central","Mazda Axela 1500cc, dark fabric interior, fog lights, original factory alloy rims, superior music...",Foreign Used,Automatic,0, Nairobi Central, Nairobi,2015,1500cc
59,59,https://pictures-kenya.jijistatic.com/33462588_MzAwLTIyNS0wZTAxODMxMTc1.webp,Mazda Axela 2015 Pearl,1490000," Nairobi, Nairobi Central","Mazda axela 2015 1500cc petrol, dark interior, alloy rims, reverse cam, navigation, power steering...",Foreign Used,Automatic,0, Nairobi Central, Nairobi,2015,1500cc
60,60,https://pictures-kenya.jijistatic.com/34001472_MzAwLTEzNS04YzU2N2EzYzli.webp,Mazda Axela 2010 Gray,795000," Nairobi, Parklands/Highridge","In a neat condition, good tyres,alloy rims, fog lights, dark interior, buy and drive vehicle",Kenyan Used,Automatic,102000, Parklands/Highridge, Nairobi,2010,Not specified
61,61,https://pictures-kenya.jijistatic.com/34040495_MzAwLTIyNS0zZDJjOTFkYTE5.webp,Mazda Axela 2015 Gray,1650000," Nairobi, Kilimani",Mazda axela skyactiv engine2015full packagemultimedia steering original mazda multimedia...,Foreign Used,Automatic,0, Kilimani, Nairobi,2015,Not specified
62,62,https://pictures-kenya.jijistatic.com/33503253_MzAwLTIyNS04ZTU4OTI0ZmZk.webp,Mazda Axela 2015,1700000," Nairobi, Nairobi Central","2015 Mazda axela 2200cc diesel/ sunroof/ full body kit/ spoiler/ leather and fabric interior,...",Foreign Used,Automatic,0, Nairobi Central, Nairobi,2015,2200cc
63,63,https://pictures-kenya.jijistatic.com/34615780_MzAwLTIyNS03Y2ExNDQzZWQ0.webp,Mazda Axela 2015 Blue,1700000," Mombasa, Ganjoni",Mazda axela 2015 model 1500ccfully loaded,Foreign Used,Automatic,0, Ganjoni, Mombasa,2015,1500cc
64,64,https://pictures-kenya.jijistatic.com/33829094_MzAwLTIyNS1lYTVkMTViNzk2.webp,Mazda Axela 2015 Off White,1650000," Nairobi, Nairobi Central","Mazda axela 2000cc petrol 2015. Extremely clean, new alloys and tyres, upgraded interior!!",Foreign Used,Automatic,0, Nairobi Central, Nairobi,2015,2000cc
65,65,https://pictures-kenya.jijistatic.com/32025712_MzAwLTIyNS05NmZhNzJkOGZh.webp,Mazda Axela 2014 Burgandy,1400000," Mombasa, Mombasa CBD","New Arrivals.Mazda Axela Red Color, Saloon.Fully loaded car with extra features.Available on...",Foreign Used,Automatic,0, Mombasa CBD, Mombasa,2014,Not specified
66,66,https://pictures-kenya.jijistatic.com/34481306_MzAwLTIwMC0xYmY5MmI2NzAw.webp,Mazda Axela 2015 Blue,1750000," Nairobi, Ridgeways",2015 mazda axela sports version  with surooof specs 2015 model // 2200cc // diesel // auto // dark...,Foreign Used,Automatic,78420, Ridgeways, Nairobi,2015,2200cc
67,67,https://pictures-kenya.jijistatic.com/33114741_MzAwLTIyNS0xYzQ2YjNkMjU4LTE.webp,Mazda Axela 2015 White,1680000," Nairobi, Ridgeways","Mazda axela 2015 model, hatchback, 2000cc, dvd screen, reverse camera, double steering controls,...",Foreign Used,Automatic,0, Ridgeways, Nairobi,2015,2000cc
68,68,https://pictures-kenya.jijistatic.com/26410041_MzAwLTIzNi1iNTY0NDQzMTdl.webp,Mazda Axela 2014 White,1340000," Mombasa, Mombasa CBD",Cash 1340000New shapenew number5 seaterdark interioralloys new tyres call me,Foreign Used,Automatic,70000, Mombasa CBD, Mombasa,2014,Not specified
