,img_link,Name,price,region,description,use,gearbox,mileage
160,https://pictures-kenya.jijistatic.com/30347669_MzAwLTIyNS0yN2UzNjJlMjc4.webp,Mazda Axela 2014 Blue,"KSh 1,550,000"," Nairobi, Lavington",Mazda Axela hatchback 2014 model 1500cc diesel manualsunroof,Foreign Used,Automatic,111000km
161,https://pictures-kenya.jijistatic.com/29047989_MzAwLTIyNS0xN2E1NzNiNmIz.webp,Mazda Axela 2014 Silver,"KSh 1,400,000"," Mombasa, Mombasa CBD",Mazda axela 2014 powerful engine 1500 cc fully loadedbuy and drivecall us now for more info,Foreign Used,Automatic,
162,https://pictures-kenya.jijistatic.com/24232647_MzAwLTQwMC1lZWI4ZTdiMmM4.webp,Mazda Axela 2014 White,"KSh 1,500,000"," Mombasa, Mombasa CBD",Mazda axela hatchbackfully loadedsky activelow mileagereverse cameramalipo mos mos accepted,Foreign Used,Automatic,
163,https://pictures-kenya.jijistatic.com/30902091_MzAwLTIyNS00ZTBiZjgwZTk3.webp,Mazda Axela 2015 Black,"KSh 1,600,000"," Mombasa, Mombasa CBD",Mazda axelafully equipped hire purchase and cash payments,Foreign Used,Automatic,66852km
164,https://pictures-kenya.jijistatic.com/21531242_MzAwLTIyNS0xZTMzOGE1ZGU4.webp,Mazda Axela 2014 Red,"KSh 1,450,000"," Mombasa, Mvita",Mazda axela 2014redhatchback,Foreign Used,Automatic,61429km
165,https://pictures-kenya.jijistatic.com/20319500_MzAwLTQwMC1iZDQ1ZjgzOWRkLTE.webp,Mazda Axela 2014 Brown,"KSh 1,400,000"," Mombasa, Mombasa CBD",Axela hutch backmanual transmissionpetrol6 speedfully loaded,Foreign Used,Automatic,67000km
166,https://pictures-kenya.jijistatic.com/14378314_5e9bc47e-6ace-410e-bbc8-4e03db3771d6_300x169.webp,Mazda Axela 2013 Blue,"KSh 1,350,000"," Mombasa, Nyali","Mazda Axela 2014 model,mileage 79k,1500cc petrol, price 1.350m negotiations",Foreign Used,Automatic,
167,https://pictures-kenya.jijistatic.com/29390054_MzAwLTI4NC02ZWY4MTA3ODRj.webp,Mazda Axela 2014 SV Premium Red,"KSh 1,350,000"," Mombasa, Mvita",Mazda axela2014 modelfully loaded,Foreign Used,Automatic,25000km
168,https://pictures-kenya.jijistatic.com/31653593_MzAwLTIyNS0wZjEyOGZlY2E5.webp,Mazda Axela 2014 Black,"KSh 1,550,000"," Nairobi, Ridgeways",Mazda Axela Sport/2014 Model / 1500 CC / Alloys Rims /Original parts,Foreign Used,Manual,
169,https://pictures-kenya.jijistatic.com/14750639_7a0daaf1-fdcf-4f75-a6c1-24ad96c3966f_300x169.webp,Mazda Axela 2013 Gray,"KSh 1,280,000"," Mombasa, Nyali","Mazda Axela 2013 model,mileage 6k,1500cc petrol, price 1.280m negotiable",Foreign Used,Automatic,
